university,ranking
Wake Forest University,29.4
Wenzhou Medical University,40.7
West Virginia University,30.1
Westlake University,20.8
Xi'an University of Technology,37.7
Yeungnam University,32.9
Zhejiang Sci-Tech University,33.4
Addis Ababa University,25.3
Ain Shams University,33.5
Air Force Medical University,29.7
Alexandria University,32.2
Australian Catholic University,20.3
Bangor University,17.4
Bielefeld University,25.8
Brescia University,26.3
Brigham Young University,25.2
Chang Gung University,31.6
Chiang Mai University,29.0
Chiba University,29.1
China University of Mining & Technology-Beijing,31.6
"China University of Petroleum, Beijing",34.6
Chulalongkorn University,35.2
Colorado School of Mines,18.8
COMSATS University Islamabad,37.0
Concordia University,28.7
Dalian Maritime University,31.2
Duke-NUS Medical School,19.8
Edith Cowan University,25.1
Ewha Womans University,29.4
Fujian Agriculture and Forestry University,29.8
Fujian Normal University,29.1
Hebei University,30.5
Henan Normal University,29.0
Hong Kong Baptist University,25.5
Humanitas University,19.5
Hunan Normal University,33.0
Indian Institute of Technology Delhi,33.4
INHA University,27.7
Khalifa University,27.4
Konkuk University,27.6
Liverpool John Moores University,24.1
Mahidol University,35.4
Manchester Metropolitan University,23.9
Mansoura University,36.2
Marche Polytechnic University,22.8
Medical College of Wisconsin,29.1
Nantong University,35.6
National Polytechnic Institute,34.7
National Sun Yat-Sen University,26.6
National University of Malaysia,33.8
Naval Medical University,29.1
North China Electric Power University,38.5
Northeast Agricultural University,30.5
Northeast Normal University,29.1
North-West University,25.6
Palacký University Olomouc,23.3
Polytechnic University of Madrid,31.5
Polytechnic University of Turin,31.4
Pontifical Catholic University of Chile,32.7
Prince Sattam Bin Abdulaziz University,40.7
Qilu University of Technology,33.0
Qingdao University of Science and Technology,32.6
Semmelweis University,24.0
Shandong Agricultural University,25.4
Shandong First Medical University,36.2
Shanxi University,31.1
Shinshu University,23.0
Taiyuan University of Technology,37.3
Tarbiat Modares University,30.1
Technical University of Braunschweig,22.9
The University of Alabama - Tuscaloosa,31.1
The University of Texas at San Antonio,26.5
Thomas Jefferson University,28.1
Tokyo University of Science,22.3
"University of Maryland, Baltimore County",17.0
"University of Natural Resources and Life Sciences, Vienna",22.3
Università Della Svizzera Italiana,15.5
Universitat Jaume I,21.6
University of Alicante,25.0
University of Clermont Auvergne,28.4
University of Delhi,30.4
University of Galway,26.1
University of Graz,21.0
University of Haifa,29.9
University of Health Sciences Turkey,36.5
University of Iceland,23.2
University of Louisville,28.5
University of Luebeck,19.9
University of Luxembourg,24.1
University of Nevada - Reno,24.5
University of Nevada-Las Vegas,24.2
University of New Hampshire,21.5
"University of Science, Malaysia",34.7
University of Sherbrooke,26.8
University of Siena,26.1
University of Southern Queensland,22.0
University of Tartu,26.6
University of the Balearic Islands,22.4
University of Toledo,19.9
University of Trieste,27.7
University Putra Malaysia,29.5
Ural Federal University,31.8
Waseda University,29.2
Wayne State University,32.4
Wenzhou University,29.8
Yanshan University,33.6
Zhejiang Chinese Medical University,28.7
Al-Azhar University,32.2
Army Medical University,28.9
Asia University,23.8
Beijing Forestry University,33.4
Beijing Technology and Business University,27.9
Brno University of Technology,21.4
Brunel University London,24.1
Chang'an University,36.6
Chengdu University of Technology,32.7
China Medical University (Shenyang),33.2
Chongqing University of Posts and Telecommunications,26.8
Chung-Ang University,32.8
Chungbuk National University,27.0
Chungnam National University,32.8
Clemson University,30.2
Copenhagen Business School,19.3
Federal University of Parana,32.9
Federal University of Santa Catarina,30.2
Federal University of Santa Maria,25.0
Federal University of Sao Paulo,30.5
Hacettepe University,33.1
Harbin Medical University,31.3
Hasselt University,20.9
Henan University of Science and Technology,29.8
Homi Bhabha National Institute,30.6
HSE University,27.1
Hubei University,25.9
Indian Institute of Technology Roorkee,29.1
Iran University of Medical Sciences,26.9
Istanbul Technical University,28.7
Jeonbuk National University,31.5
Kent State University,21.1
Kindai University,22.2
King Fahd University of Petroleum & Minerals,31.1
Kitasato University,19.2
Koc University,23.7
Lanzhou University of Technology,28.5
Loughborough University,27.9
National Taiwan University of Science and Technology,24.5
New Jersey Institute of Technology,18.1
Northumbria University,28.7
Norwegian University of Life Sciences,19.5
NOVA University Lisbon,25.6
Ohio University,18.5
Orebro University,22.9
University Paris Est Creteil,23.5
Qassim University,29.1
Rutgers University-Newark,19.6
Shahid Beheshti University of Medical Sciences,30.9
Shanghai Ocean University,26.5
Shantou University,29.7
Sharif University of Technology,26.3
Southern Methodist University,18.5
Southwestern University of Finance and Economics,27.3
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,34.5
"St George's, University of London",18.6
University at Albany (State University of New York),22.7
Stockholm School of Economics,11.1
Suzhou University of Science and Technology,29.0
Syracuse University,25.0
Taipei Medical University,29.3
Technical University of Dortmund,26.8
The Open University,21.0
The University of Texas at Arlington,25.2
Tilburg University,25.9
Umm Al-Qura University,34.0
University of International Business and Economics,21.5
University of Tennessee Health Science Center,21.5
Universitat de Lleida,18.4
University of Alcalá,25.9
University of Augsburg,19.5
University of Brasília,29.7
University of Calabria,23.8
University of Castilla–La Mancha,26.6
University of Concepcion,24.1
University of Cyprus,23.3
University of Eastern Finland,29.8
University of Eastern Piedmont,20.7
University of Extremadura,22.5
University of Ferrara,27.5
University of Greenwich,18.4
University of Greifswald,18.0
University of Hull,18.9
University of Idaho,18.2
University of Jyvaskyla,27.7
University of Magdeburg,23.6
University of Malaga,29.2
University of Oldenburg,21.2
University of Palermo,31.9
University of Plymouth,21.4
University of Sharjah,28.4
University of the Punjab,29.9
University of the Sunshine Coast,20.5
University of Ulster,20.1
University of Wyoming,22.4
University Rovira i Virgili,24.2
Xi'an University of Science and Technology,27.2
Xinjiang University,35.0
Zagazig University,30.8
Zhejiang Normal University,33.6
Aligarh Muslim University,22.6
American University of Beirut,20.5
Anhui Agricultural University,25.4
Ankara University,29.9
AUT University,21.2
"Birkbeck, University of London",17.2
Budapest University of Technology and Economics,21.7
Campus Bio-Medico University of Rome,15.3
Capital Normal University,23.3
Catholic University of Korea,30.8
Chengdu University,30.3
China Pharmaceutical University,26.9
Cranfield University,20.2
Czech Technical University in Prague,25.0
Czech University of Life Sciences Prague,22.7
Dongguk University,26.8
Federal University of Sao Carlos,27.3
Federal University of Viçosa,24.2
Florida Atlantic University,20.6
Free University of Bozen-Bolzano,17.0
Gachon University,29.5
Gdansk University of Technology,22.6
The Graduate University for Advanced Studies,19.0
Graz University of Technology,21.3
Hangzhou Normal University,29.7
Hebei Medical University,31.6
Heilongjiang University,21.3
Heriot-Watt University,19.9
Indian Institute of Technology Kharagpur,32.1
Indian Institute of Technology Madras,31.0
INSA Toulouse,13.1
Istanbul University Cerrahpaşa,25.4
Jiangxi Normal University,24.4
Jimei University,21.2
Johannes Kepler University Linz,21.7
Kanazawa University,25.1
Kangwon National University,26.3
King Faisal University,27.9
Liaocheng University,26.0
Massey University,25.7
Memorial University of Newfoundland,22.6
Nagasaki University,23.0
National Chung Hsing University,28.0
National University of Colombia,26.9
National University of Cordoba,20.6
National Technical University of Athens,25.4
"National University of Ireland, Maynooth",17.4
Northeast Forestry University,30.8
Nottingham Trent University,23.6
Novosibirsk State University,23.2
Old Dominion University,19.5
Politecnico di Bari,18.1
Polytechnic University of Catalonia,27.8
Qingdao Agricultural University,23.5
"Royal Holloway, University of London",21.8
Saveetha Institute of Medical and Technical Sciences (Deemed to be University),32.7
Scuola Normale Superiore - Pisa,16.5
Shaanxi University of Science and Technology,27.1
Shandong Normal University,31.7
Shanghai Normal University,26.0
Sichuan Agricultural University,32.5
Skolkovo Institute of Science and Technology,17.7
Southwest Petroleum University,31.8
SUNY Downstate Health Sciences University,14.6
The Education University of Hong Kong,24.0
The Royal Veterinary College,13.9
The University of Waikato,20.4
United Arab Emirates University,28.6
University of Campania Luigi Vanvitelli,29.1
University of Alaska - Fairbanks,16.4
University of Burgundy,26.6
University of Cagliari,26.6
University of Canberra,23.5
University of Crete,20.8
University of Girona,22.8
University of Jordan,23.5
University of Kassel,18.7
University of Limerick,23.2
University of Messina,28.9
University of Missouri-Kansas City,20.4
University of Modena and Reggio Emilia,28.6
University of Oviedo,27.2
University of Quebec Montreal,26.7
University of Regina,18.1
University of Rhode Island,21.4
University of Salerno,28.4
University of Salzburg,19.4
University of South China,30.8
University of Stirling,17.7
University of Texas at El Paso,18.3
University of Texas Rio Grande Valley,18.2
University of Thessaly,24.0
University of Vigo,26.5
University of Wisconsin-Milwaukee,20.6
University Savoie Mont Blanc,21.5
Wuhan University of Science and Technology,32.1
Xi'an University of Architecture and Technology,31.8
Xiangtan University,29.2
Xuzhou Medical University,28.9
Zhongnan University of Economics and Law,24.3
Abdul Wali Khan University Mardan,20.9
Adam Mickiewicz University,25.1
AGH University of Krakow,28.0
Ajou University,25.3
Amherst College,9.3
Amirkabir University of Technology,27.0
Ataturk University,26.4
Augusta University,20.5
Banaras Hindu University,28.0
Carlos III University of Madrid,23.2
Changsha University of Science and Technology,28.2
Charles Sturt University,19.0
Comenius University in Bratislava,25.5
Cukurova University,22.3
Dalian Medical University,25.1
Dalian Polytechnic University,22.0
Dublin City University,20.4
Ege University,26.8
Federal University of Bahia,23.9
Federal University of Ceara,24.9
Federal University of Goiás,24.2
Federal University of Pernambuco,28.0
Guangdong Ocean University,22.5
Guangxi Medical University,28.3
Guangzhou University of Chinese Medicine,27.8
Guilin University of Electronic Technology,27.4
Gyeongsang National University,26.3
Hallym University,24.2
Harbin University of Science and Technology,23.5
Hassan II University of Casablanca,20.5
Henan Agricultural University,26.2
Henan Polytechnic University,29.5
Huaqiao University,25.6
Indian Institute of Technology Kanpur,26.5
Inner Mongolia University,22.4
Iran University of Science & Technology,28.9
Jazan University,26.6
Jiangsu University of Science and Technology,30.8
Juntendo University,24.7
Kaohsiung Medical University,26.8
Kumamoto University,23.0
Lakehead University,14.6
Lehigh University,20.2
Liaoning University of Technology,12.8
Linnaeus University,19.0
Loyola University Chicago,22.4
Manipal Academy of Higher Education,29.5
National Central University,24.4
National University of Sciences and Technology Pakistan,28.8
Nicolaus Copernicus University,23.7
North Dakota State University,19.4
North University of China,27.5
Roma Tre University,23.9
Shanghai University of Finance and Economics,22.2
Shanghai University of Traditional Chinese Medicine,27.5
Shanxi Medical University,28.8
Singapore University of Technology & Design,17.5
Suez Canal University,20.3
Sunway University,20.2
Tanta University,26.9
Taras Shevchenko National University of Kyiv,19.2
The University of Tokushima,17.8
Tianjin University of Science and Technology,23.4
Tokyo University of Agriculture and Technology,18.9
Universidad Andrés Bello,21.1
Universidad de Cadiz,22.6
Universidade Federal de Pelotas,20.7
Universite de Tunis El Manar,25.1
University of Alabama in Huntsville,13.5
University of Bradford,16.4
University of Calcutta,18.8
University of Cantabria,21.3
University of Central Lancashire,15.5
University of Cordoba,25.1
University of Ghana,23.6
University of Hertfordshire,18.5
University of Hohenheim,19.4
University of Jaen,21.1
University of Kaiserslautern-Landau,18.0
University of Lahore,27.5
University of Nebraska Medical Center,23.6
University of New Brunswick,18.8
University of Novi Sad,27.1
University of Patras,26.6
University of Poitiers,19.3
University of Portsmouth,23.0
University of South Africa,22.8
University of Tabriz,27.1
University of Udine,22.7
University of Valladolid,24.9
University of Wuppertal,19.3
Warsaw University of Technology,25.3
Western Norway University of Applied Sciences,17.7
Wroclaw Medical University,21.5
Wuhan Institute of Technology,25.7
Xi'an Jiaotong-Liverpool University,22.2
Yangtze University,28.6
Yantai University,27.2
Yokohama City University,22.1
Zhejiang A&F University,26.3
